movieID	name	year	rating	votes	action	adventure	animation	biography	comedy	crime	documentary	drama	family	fantasy	film-noir	history	horror	music	musical	mystery	romance	sci-fi	short	sport	thriller	war	western	Topic 0	Topic 1	Topic 2	Topic 3	Topic 4
m298	citizen kane	1941	8.6	140517	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.057648857	0.041500532	0.105362839	0.780602073	0.014885699
m225	the verdict	1982	7.7	10991	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032862056	0.089160616	0.034984928	0.776461597	0.066530803
m593	verdict	1974	5.7	135	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032879386	0.090280429	0.032921811	0.775020152	0.068898222
m573	trouble in paradise	1932	8.2	4781	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.045984456	0.024467473	0.147236615	0.76482441	0.017487047
m18	american madness	1932	7.4	702	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057285463	0.045091033	0.06199308	0.711871136	0.123759288
m42	casablanca	1942	8.8	170874	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0.032089204	0.074898713	0.168835825	0.705209566	0.018966692
m161	platinum blonde	1931	6.9	1119	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.087897563	0.025030979	0.104626188	0.704667493	0.077777778
m78	grand hotel	1932	7.7	6088	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.031652317	0.023124231	0.250471505	0.683517835	0.011234112
m140	mr. deeds goes to town	1936	8	7594	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.060676827	0.043100623	0.129219928	0.680801377	0.086201245
m149	ninotchka	1939	7.9	6951	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.027180207	0.068135334	0.219634804	0.677928094	0.007121559
m266	being there	1979	8	25085	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063472266	0.129716246	0.103419603	0.677268475	0.026123411
m139	mr. smith goes to washington	1939	8.4	33984	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032896151	0.050478989	0.131536826	0.674096371	0.110991662
m558	the third man	1949	8.5	51872	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0.047364152	0.079318735	0.167315491	0.669343066	0.036658556
m246	the apartment	1960	8.4	37301	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.141814097	0.033760804	0.046990546	0.668320384	0.109114169
m475	playback	1996	3.6	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.082850676	0.101491246	0.106084815	0.665767925	0.043805339
m90	his girl friday	1940	8.1	20870	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.022331537	0.032586346	0.122693319	0.658337888	0.16405091
